full-name,url,language,start_time,commit_time,commit_id,docker notes,stars,file_count,LOC,test_cases,test_cases_LOC,mock_usage,P/T Ratio,STMTS,Miss,Coverage(%),Branch,BrMiss,BranchCover(%)
home-assistant-libs/pytradfri,https://github.com/home-assistant-libs/pytradfri,Python,2017/4/10 18:30,2023-03-06T10:28:56Z,b812275086eb16ec6bf62807ce2cf3d6c2ec0ee0,coverage report,904,54,4830,74,477,TRUE,9.13,1550,283,81.7,238,110.36,53.6
basnijholt/adaptive-lighting,https://github.com/basnijholt/adaptive-lighting,Python,2020/8/25 16:06,2023-02-12T22:40:38Z,5cd060a37c2cdad3c7e266b937dc50e4b1c79711,python3 -X dev -m pytest -vvv --timeout=9 --durations=10 --cov-branch --cov=custom_components.adaptive_lighting --cov-report=xml --cov-report=html --cov-report=term-missing --color=yes -o console_output_style=count tests/components/adaptive_lighting,878,9,2467,28,632,TRUE,2.9,1706,188,89,659,143.1,78.3
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,Python,2016/11/16 1:44,2022-05-18T22:18:43Z,78c3f58701ce36c49dd053c9856ea21c91220cec,coverage report,781,28,2553,120,666,TRUE,2.83,1659,117,92.9,517,35.32,93.2
ikalchev/HAP-python,https://github.com/ikalchev/HAP-python,Python,2017/10/14 13:21,2022-12-10T09:18:38Z,8b62c1965b8d88d79b26d1d857408659ab9b84ba,coverage report,526,59,8114,166,3304,TRUE,1.46,2143,136,93.7,539,51.74,90.4
jeffreydwalter/arlo,https://github.com/jeffreydwalter/arlo,Python,2016/9/1 23:23,2022-11-17T21:13:30Z,46d1e945b9eee6a253bbeb8e84636828d18dadcf,coverage report,485,23,1895,9,117,FALSE,15.2,750,410,45.3,180,148,17.8
Azure/azure-iot-sdk-python,https://github.com/Azure/azure-iot-sdk-python,Python,2016/10/14 18:17,2022-11-16T19:00:44Z,f3e84fc448b023e147502ceb81d0b1389d0bbcfa,coverage report,390,310,41929,1497,13256,TRUE,2.16,11177,275,97.5,1775,113.56,93.6
home-assistant-ecosystem/home-assistant-cli,https://github.com/home-assistant-ecosystem/home-assistant-cli,Python,2016/7/27 10:39,2023-02-20T20:18:56Z,e9ab228a6fbc50aabe2251cbefbecaabc48efc0b,coverage report,345,39,4160,42,613,TRUE,5.79,1719,442,74.3,366,183.5,49.9
keylime/keylime,https://github.com/keylime/keylime,Python,2016/10/19 13:25,2023-03-10T14:51:38Z,da74dc2c68c9bbc6a5205637128dacd7350c724e,coverage report,303,129,16874,168,1865,TRUE,8.05,5480,1121,79.5,1584,645,59.3
chrysn/aiocoap,https://github.com/chrysn/aiocoap,Python,2014/6/4 13:22,2023-02-10T13:10:34Z,0bda9a869664dcbc25813c223d9d779e7633770e,coverage report,232,102,11421,108,911,FALSE,11.54,8931,1820,79.6,2452,911.92,62.8
blynkkk/lib-python,https://github.com/blynkkk/lib-python,Python,2019/2/11 18:24,2022-03-04T09:27:54Z,517326028854c1d1cc8c7606ef1d820606689945,coverage report,214,24,1585,73,377,FALSE,3.2,1110,178,84,220,88,60
adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,Python,2014/5/27 16:22,2022-11-21T16:27:39Z,ecefb29ad7a6080c1839c507abbcaef05d5e01d2,coverage run --branch -m pytest,210,41,2163,46,401,FALSE,4.39,840,78,90.7,130,48.1,63
scrool/xled,https://github.com/scrool/xled,Python,2017/12/17 21:18,2022-12-22T10:45:34Z,3c7302191f18f8ea14f556bec2cd2a9ee8e516c7,coverage report,166,23,3150,36,782,FALSE,3.03,4196,2044,51.3,1132,886.4,21.7
Azure/iotedgedev,https://github.com/Azure/iotedgedev,Python,2017/12/30 0:45,2022-11-09T12:12:18Z,4e51ecdcddd4bdd565312dc72401701a202b4e3f,cd ../iotedgedev/ && python -m coverage report,143,46,4618,126,1067,TRUE,3.33,3724,759,79.6,845,383.25,54.6
eschava/psmqtt,https://github.com/eschava/psmqtt,Python,2016/3/23 16:05,2022-11-07T14:46:59Z,52094f3ea2d365d011da8fcfb285eb4c634ad0ba,coverage report,136,5,977,13,223,FALSE,3.38,905,178,80.3,298,122.75,58.8
citrusvanilla/tinyflux,https://github.com/citrusvanilla/tinyflux,Python,2022/4/30 21:40,2023-03-09T18:06:26Z,f226fbf1ca69b0815c452bdc1af4c27e92462890,coverage report,119,19,5976,141,3119,FALSE,0.92,4215,0,100,1181,53.96,95.4
Telefonica/HomePWN,https://github.com/Telefonica/HomePWN,Python,2019/8/7 9:24,2021-05-28T10:03:57Z,080398174159f856f4155dcb155c6754d1f85ad8,coverage report,749,186,16615,13,101,FALSE,163.5,1119,658,41.2,288,214.34,25.6
