Project Name,Project Link,Package Path,Function Name,Line No,Link,Role,Type
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/ObserveRelationTest.java,setEndpoint,89,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/UdpMatcherTest.java,getEndpointIdentity,102,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/UdpMatcherTest.java,apply,103,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/Stubbing/UdpMatcherTest.java,thenReturn,103,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Stub,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/UdpMatcherTest.java,isResponseRelatedToRequest,229,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/UdpMatcherTest.java,registerOutboundRequest,213,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/UdpMatcherTest.java,isResponseRelatedToRequest,109,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/UdpMatcherTest.java,isResponseRelatedToRequest,130,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/UdpMatcherMulticastTest.java,isResponseRelatedToRequest,82,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/CoapEndpointTest.java,addObserver,124,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/CoapEndpointTest.java,addObserver,136,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/coap/BlockwiseLayerTest.java,addMessageObserver,120,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,Request
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/stack/BlockwiseLayerTest.java,setUpperLayer,70,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/stack/BlockwiseLayerTest.java,setUpperLayer,143,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/stack/BlockwiseLayerTest.java,setLowerLayer,93,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/stack/AbstractLayerTest.java,setLowerLayer,41,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/network/stack/AbstractLayerTest.java,setUpperLayer,51,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
