Language,FrameWork,Link,Mock Object Creation Methods
Python,unittest.mock,https://docs.python.org/3/library/unittest.mock.html,mock patch magicmock NonCallableMock PropertyMock AsyncMock ThreadingMock create_autospec
,requests-mock,https://requests-mock.readthedocs.io/en/latest/,Mocker mock
,auto_mock,https://github.com/aaaustin10/Python-Auto-Mock,full_mock
,alchemy-mock,https://github.com/miki725/alchemy-mock,AlchemyMagicMock AlchemyMagicMock ExpressionMatcher 
,pytest,https://pytest-mock.readthedocs.io/en/latest/,mocker
,,,
JS,sinon.js,https://sinonjs.org/,"fake, spy, Stub, mock, promise, useFakeTimers,useFakeXMLHttpRequest"
,nock,https://github.com/nock/nock,nock
,mock-require,https://www.npmjs.com/package/mock-require,mock
,mock-fs,https://www.npmjs.com/package/mock-fs,mock
,fetch-mock,https://www.npmjs.com/package/fetch-mock,"mock,spy"
,@serialport/binding-mock,https://github.com/serialport/binding-mock,MockBinding
,,,
Java,mockito,https://site.mockito.org/,"mock,spy"
,easymock,https://easymock.org/,"mock, @Mock,niceMock, strictMock, createMock "
,wiremock,https://wiremock.org/docs/getting-started/,"WireMockRule, studbFor"
,mockwebserver,https://github.com/square/okhttp/tree/master/mockwebserver,"MockWebServer, MockResponse"
,mockserver,https://www.mock-server.com/,"MockServerClient, ClientAndServer "
,powermock,https://github.com/powermock/powermock,"PowerMock, PowerMockito, "
,Spring Framework: Mock,https://mvnrepository.com/artifact/org.springframework/spring-mock,"MockEnvironment, MockPropertySource, MockHttpInputMessage, MockHttpOutputMessage, MockAsyncContext, MockBodyContent, MockCookie, MockFilterChain, MockFilterConfig, MockHttpServletMapping, MockHttpServletRequest, MockHttpServletResponse, MockHttpSession, MockJspWriter, MockMultipartFile, MockMultipartHttpServletRequest, MockPageContext, MockPart, MockRequestDispatcher, MockServletConfig, MockServletContext, MockSessionCookieConfig"
