Project Name,Project Link,File Name,File Link,Function Name,Line No,Link,Role,Type
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_get_best_play_method_error,42,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L42,Stub,Import
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_get_best_play_method_pyaudio,31,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L31,Mock,Import
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_get_best_play_method_sox,36,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L36,Stub,Import
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_loop,48,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L48,Mock,File
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_pyaudio,16,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L16,Mock,Import
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/audio.py,pyaudio_callback,14,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/audio.py#L14,Fake,File
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_audio.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py,test_sox,26,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_audio.py#L26,Mock,Internal
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_invalid_config,84,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L84,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_not_found,23,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L23,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_other_user,38,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L38,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_other_user_error,48,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L48,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_root,61,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L61,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_config.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py,test_root_error,71,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_config.py#L71,Stub,SystemCall
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_confirmations.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py,test_format_error,50,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py#L50,Mock,Logger
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_confirmations.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py,post,78,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py#L78,Mock,Request
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_confirmations.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py,post,71,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py#L71,Mock,Request
Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,amazon_dash/tests/test_confirmations.py,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py,post,92,https://github.com/Nekmo/amazon-dash/tree/78c3f58701ce36c49dd053c9856ea21c91220cec/amazon_dash/tests/test_confirmations.py#L92,Mock,Request
