Project Name,Project Link,File Name,File Link,Function Name,Line No,Link,Role,Type
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/mocks/linux.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/mocks/linux.js#L9,mockFs,9,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/mocks/linux.js#L9,Mock,File
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/close.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/close.js#L19,Stub,19,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/close.js#L19,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/close.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/close.js#L20,Stub,20,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/close.js#L20,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/closeSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/closeSync.js#L19,Stub,19,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/closeSync.js#L19,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/closeSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/closeSync.js#L20,Stub,20,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/closeSync.js#L20,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/deviceId.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceId.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceId.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/deviceId.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceId.js#L29,Stub,29,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceId.js#L29,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/deviceIdSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceIdSync.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceIdSync.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/deviceIdSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceIdSync.js#L25,Stub,25,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/deviceIdSync.js#L25,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cFuncs.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cFuncs.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L29,Stub,29,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L29,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cFuncs.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L107,Stub,107,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncs.js#L107,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cFuncsSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncsSync.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncsSync.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cFuncsSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncsSync.js#L25,Stub,25,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cFuncsSync.js#L25,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cRead.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cRead.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cRead.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cReadSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cReadSync.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cReadSync.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cWrite.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cWrite.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cWrite.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/i2cWriteSync.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cWriteSync.js#L23,Stub,23,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/i2cWriteSync.js#L23,Stub,Device Communication
fivdi/i2c-bus,https://github.com/fivdi/i2c-bus,test/promisifiedBus.js,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/promisifiedBus.js#L24,Stub,24,https://github.com/fivdi/i2c-bus/blob/d6a42496d0b75a93dc5f53d27a405658eaae261c/test/promisifiedBus.js#L24,Stub,Device Communication
